nombre_entidad,ind_ent_ncontratos,ind_ent_pcontr_directa_num,ind_ent_val_contratos,ind_ent_pcontr_directa_val,ind_ent_dif_pcontr_directa,ind_ent_HHI_num,ind_ent_HHI_val,ind_ent_dif_HHI,ind_ent_Idiversidad,ind_entidad_ncontratistas,ind_ent_ratio_contratistas,ind_ent_IC4K_num,ind_ent_IC4K_val,dif_IC4K,ind_ent_padicion_val,ind_ent_padicion_time,ind_ent_padicion_time_val,ind_ent_dif_adicion,ind_ent_median_val,ind_ent_median_sd,ind_ent_median_rango,at_ent_nivel,at_ent_orden,at_ent_dep
ADMINISTRADORA COLOMBIANA DE PENSIONES (COLPENSIONES),44,0.0,212207960851,0.0,0.0,309.9173553719007,1944.5557679100136,-1634.6384125381128,0.008456659619450317,37,0.8409090909090909,0.20454545454545456,0.8074608100414841,-0.6029153554960295,0.13636363636363635,0.11363636363636363,0.11363636363636363,-0.02272727272727272,322987080.5,13404612521.919909,65005563720,nacional,nac_descentralizado,bogotá-d.c.
AERONÁUTICA CIVIL (AEROCIVIL),332,0.05421686746987952,665733414599,0.058042449696287246,-0.003825582226407727,42.82188996951672,273.8149671967751,-230.9930772272584,0.0012739780875768937,278,0.8373493975903614,0.04216867469879518,0.272703657660558,-0.2305349829617628,0.060240963855421686,0.11144578313253012,0.03313253012048193,0.05120481927710843,502185000.0,5603356495.466202,59982184671,nacional,nac_centralizado,bogotá-d.c.
AGENCIA DE DESARROLLO RURAL -  ADR,5,0.2,1542332558,0.10090572048988672,0.09909427951011329,2000.0,3161.701982221978,-1161.7019822219781,0.0,5,1.0,0.8,0.9285497803775209,-0.12854978037752085,0.0,0.4,0.0,0.4,195185480.0,262842383.01660344,646116900,nacional,nac_descentralizado,bogotá-d.c.
AGENCIA DE RENOVACION DEL TERRITORIO,37,0.1891891891891892,22365554248,0.6125457410126598,-0.4233565518234706,372.5346968590211,1664.5138576489392,-1291.979160789918,0.010510510510510511,30,0.8108108108108109,0.21621621621621623,0.670362638312025,-0.4541464220958088,0.08108108108108109,0.16216216216216217,0.08108108108108109,0.08108108108108109,250000000.0,1109818984.058654,6000000000,nacional,nac_centralizado,bogotá-d.c.
AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS  RENTAS Y CONTRIBUCIONES PARAFISCALES (ITRC),16,0.25,5376587591,0.4202080984938984,-0.1702080984938984,781.25,1127.0384394027765,-345.7884394027765,0.016666666666666666,14,0.875,0.375,0.5942625042226342,-0.21926250422263416,0.125,0.125,0.0625,0.0,199709329.5,288185109.54377747,959903886,nacional,nac_centralizado,bogotá-d.c.
AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES (ALFM),1667,0.01919616076784643,822315307271,0.017424060815005697,0.0017720999528407326,24.499595756670278,63.74311823378471,-39.24352247711444,0.0018508304222589938,896,0.5374925014997001,0.047418967587034816,0.09955565936950315,-0.05213669178246834,0.2699460107978404,0.1931613677264547,0.14517096580683864,-0.07678464307138572,250000000.0,1230732504.493919,28752073170,nacional,nac_descentralizado,bogotá-d.c.
AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO (ANDJE),5,0.0,1121170000,0.0,0.0,2000.0,2304.326272570642,-304.3262725706418,0.0,5,1.0,0.8,0.8956447282749271,-0.0956447282749271,0.4,0.4,0.4,0.0,250000000.0,97793771.68306783,226000000,nacional,nac_centralizado,bogotá-d.c.
AGENCIA NACIONAL DE HIDROCARBUROS (ANH),35,0.02857142857142857,34008152958,0.0052928484596708215,0.02327858011175775,400.00000000000017,1824.3902575291795,-1424.3902575291793,0.011764705882352941,30,0.8571428571428571,0.2571428571428571,0.6130395678279753,-0.3558967106851182,0.0,0.0,0.0,0.0,399677346.0,2257776316.223039,13382336364,nacional,nac_descentralizado,bogotá-d.c.
AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),38,0.05263157894736842,14890239441,0.03846143658530306,0.01417014236206536,290.8587257617727,417.24167043325434,-126.38294467148165,0.002844950213371266,36,0.9473684210526315,0.15789473684210525,0.2904554155852812,-0.13256067874317595,0.15789473684210525,0.18421052631578946,0.13157894736842105,0.02631578947368421,359000000.0,247916081.85811105,1118960000,nacional,nac_descentralizado,bogotá-d.c.
AGENCIA NACIONAL DE MINERÍA (ANM),90,0.14444444444444443,63162176466,0.09520823883003905,0.04923620561440538,145.67901234567893,2713.4513602995194,-2567.7723479538404,0.003495630461922597,78,0.8666666666666667,0.1111111111111111,0.6056861031474007,-0.4945749920362896,0.1111111111111111,0.14444444444444443,0.05555555555555555,0.033333333333333326,195475000.0,3407589080.2310357,32436435000,nacional,nac_descentralizado,bogotá-d.c.
AGENCIA NACIONAL DE SEGURIDAD VIAL,6,0.0,4458028400,0.0,0.0,1666.6666666666665,2380.4611800723096,-713.7945134056431,0.0,6,1.0,0.6666666666666666,0.8721407876181319,-0.20547412095146522,0.0,0.6666666666666666,0.0,0.6666666666666666,573475000.0,532653066.2174721,1238546800,nacional,nac_descentralizado,colombia
AGENCIA NACIONAL DE TIERRAS,5,0.2,1960045706,0.41209281575804235,-0.21209281575804234,2800.0,2930.444658218705,-130.44465821870517,0.1,4,0.8,1.0,1.0,0.0,0.4,0.0,0.0,-0.4,376900000.0,259374703.2007277,697720754,nacional,nac_centralizado,bogotá-d.c.
AGENCIA NACIONAL DEL ESPECTRO (ANE),39,0.3076923076923077,37536436826,0.4232512780220915,-0.1155589703297838,322.1564760026297,1609.991345571545,-1287.8348695689153,0.006747638326585695,34,0.8717948717948718,0.20512820512820512,0.7269996839470391,-0.5218714788188339,0.05128205128205128,0.07692307692307693,0.02564102564102564,0.025641025641025647,170092621.0,2218740874.612934,9095257704,nacional,nac_centralizado,bogotá-d.c.
AGENCIA NACIONAL PARA LA SUPERACIÓN DE LA POBREZA EXTREMA (ANSPE),14,0.14285714285714285,7750667607,0.42833841164877606,-0.2854812687916332,918.3673469387754,2595.403040881669,-1677.0356939428934,0.02197802197802198,12,0.8571428571428571,0.42857142857142855,0.7450950969416279,-0.31652366837019935,0.2857142857142857,0.21428571428571427,0.14285714285714285,-0.07142857142857142,316441756.5,736423904.6585789,2936775139,nacional,nac_descentralizado,bogotá-d.c.
AGENCIA PARA LA INFRAESTRUCTURA DEL META - AIM,10,0.3,23078299436,0.02252120570847766,0.27747879429152233,1000.0,2458.124442232154,-1458.1244422321538,0.0,10,1.0,0.4,0.8889801742496118,-0.4889801742496118,0.1,0.2,0.1,0.1,894460000.0,2937513317.603925,8776800114,territorial,terri_dep_centr,meta
AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN (ARN),48,0.0625,19128491014,0.067263039152347,-0.004763039152347007,260.41666666666646,520.0291553883137,-259.61248872164725,0.005319148936170213,43,0.8958333333333334,0.1875,0.36673492273204983,-0.17923492273204983,0.16666666666666666,0.14583333333333334,0.10416666666666667,-0.020833333333333315,230649586.0,451692292.6874223,2212089565,nacional,nac_centralizado,bogotá-d.c.
